dataset_name, COPOD,ECOD ,PCA  ,CBLOF,IForest
annthyroid   ,76.80,78.03,66.25,62.26,82.01 
cover        ,88.64,93.42,93.73,89.30,86.74 
donors       ,81.76,74.45,83.15,60.44,77.68 
http         ,99.29,98.10,99.72,99.60,99.96
magic.gamma  ,68.33,64.36,67.22,75.13,73.25 
mammography  ,90.69,90.75,88.72,83.74,86.39 
PageBlocks   ,88.05,90.92,90.64,85.04,89.57
pendigits    ,90.68,91.22,93.73,90.40,94.76
shuttle      ,99.35,99.40,98.62,83.48,99.56
skin         ,47.55,39.09,45.26,69.49,68.21
smtp         ,79.09,71.86,88.41,79.68,89.73
thyroid      ,94.30,97.78,96.34,94.73,98.30
vowels       ,53.15,45.81,65.29,89.92,73.94
Wilt         ,33.40,39.43,20.39,32.54,41.94
yeast        ,36.99,39.61,41.15,44.85,37.76 